,0 uM,0 uM ,0 uM,0.1 uM,0.1 uM ,0.1 uM ,1 uM,1 uM ,1 uM ,10 uM,10 uM ,10 uM ,100 uM,100 uM ,100 uM ,500 uM ,500 uM ,500 uM 
300,286,-177.5,286,210,375,403.5,565.5,248,471.5,154.5,364,261,311.5,488,136.5,-304.5,1930,120
301,366,148,366,284,363.5,450.5,491,361.5,525.5,343.5,406,449,412,566,273.5,-48.5,1540.5,307.5
302,377.5,300,377.5,418,451,496.5,520.5,408,537,386.5,485,511,494,590,447.5,213,1131,467
303,486,480,486,495.5,457.5,485,591,469,554.5,499.5,564.5,533,630,719,599,417.5,872.5,801
304,618.5,587,618.5,581,557,678,606,619.5,658,595,662.5,646,718,823.5,748.5,640,780.5,906.5
305,589.5,724,589.5,699,629.5,784,726.5,693.5,778.5,696.5,793.5,717,889.5,905,870,775,876,1085.5
306,759.5,841.5,759.5,742.5,729,799.5,857,758.5,904,828,905.5,832.5,945,1030,960.5,944.5,964,1212
307,886,916,886,900,792,924,1045,868,983,930,988,937.5,1106,1208.5,1145,1098.5,1102.5,1277.5
308,954.5,1036,954.5,996,920,1045.5,1040.5,1015,1134,1018.5,1128,1053.5,1202.5,1293,1217,1144,1261.5,1424
309,1062,1196.5,1062,1074,1056,1195,1218,1114,1210.5,1157,1301,1204.5,1456.5,1444.5,1438.5,1353,1351,1666.5
310,1150,1300.5,1150,1215.5,1170.5,1371.5,1458,1296.5,1422,1291,1437.5,1312.5,1579,1696.5,1525,1492,1577.5,1894.5
311,1402,1491,1402,1418.5,1290.5,1519.5,1590.5,1421.5,1523,1482,1607.5,1470.5,1779.5,1781.5,1766.5,1662.5,1676,2190.5
312,1439,1647,1439,1587.5,1530.5,1699,1676.5,1541,1719.5,1626.5,1724,1678.5,1981.5,2096.5,1861.5,1881.5,1855,2346.5
313,1693.5,1873,1693.5,1739,1591.5,1858,1939.5,1723.5,1856.5,1869.5,1959.5,1859,2204.5,2209.5,2227.5,2054,2115.5,2544.5
314,1856,2006.5,1856,2024.5,1817.5,1972,2105,1976,2098,1985,2163.5,1969,2450,2453,2372.5,2315,2319.5,2806
315,2037,2225.5,2037,2073.5,1987.5,2240.5,2249.5,2154.5,2163,2240.5,2364.5,2207.5,2617,2772,2645,2563.5,2681,3170
316,2194.5,2386,2194.5,2363,2167,2464.5,2502.5,2262.5,2495,2438,2545,2465.5,2910.5,2919,2821.5,2764.5,2726,3418.5
317,2420.5,2695.5,2420.5,2477,2383.5,2660,2616.5,2534.5,2753.5,2670.5,2754,2684,3176,3182,3153.5,3043,2959,3798
318,2640,2771,2640,2695,2529,2897,2924.5,2735,2841,2826,2993.5,2922.5,3392,3492,3332,3229,3275.5,3969.5
319,2892.5,3046,2892.5,2957.5,2845,3141.5,3147,2855,3242,3095.5,3176.5,3095.5,3691.5,3679,3733.5,3480,3666,4325.5
320,3056,3166.5,3056,3024,2948.5,3451,3431,3098,3464,3230.5,3462,3333.5,3922,3944.5,3870,3842.5,3859,4676
321,3150.5,3218.5,3150.5,3375.5,3249,3515,3726,3327.5,3725,3460.5,3791.5,3652.5,4262,4325,4070.5,4132,4307,4982.5
322,3423,3539.5,3423,3567,3363,3762,3963,3635,3949.5,3711,3920,3835,4457,4502,4446.5,4373,4433,5304.5
323,3569.5,3599,3569.5,3684.5,3666.5,4058,4201.5,3677.5,4235.5,3880,4312,4118.5,4727,4903,4588.5,4459.5,4760.5,5621.5
324,3862.5,3923.5,3862.5,3963,3920,4252,4502,4027,4465,4319.5,4424.5,4450,4968.5,5096,4940,4826,5081.5,5892.5
325,4132,4102.5,4132,4210,4135.5,4690,4715,4360,4671,4547.5,4761.5,4731.5,5375,5369,5390,5195,5220.5,6441
326,4330,4388.5,4330,4478,4244.5,4835.5,5076.5,4709.5,4922.5,4814.5,5000.5,4883.5,5775,5794.5,5382,5628,5561.5,6542
